Category,Count
Agricultural and Biological Sciences,157
Biological Sciences,360
Business,28
Engineering,515
Environmental,190
Mathematics,78
Medical,1092
Other,151
Physics and Chemistry,465
Social Sciences,69
Technology and Computer Science,254
arts,6
decision sciences,47
earth sciences,33
energy,168
engineering,339
fluidex; related topics,693
geobase; related topics,70
heat exchange,8
lubrication,5
mixing and separation,102
mycology,31
numerical methods,5
orthopedic surgery,5
parasitology and virology,31
